country,gdp_percapita,gdp,primary_enrollments,secondary_enrollments,tertiary_enrollments
"Iran, Islamic Rep.",13805.7038219486,486807615326.147,96.5537,76.34191,44.1696586608887
Iraq,9063.56859717956,138461538461.538,NA,NA,NA
Ireland,53041.2775569019,222148757577.891,95.20748,96.66345,63.1264381408691
Isle of Man,NA,5920177688.50433,NA,NA,NA
Israel,34927.618743094,233995676087.698,97.04351,98.33685,65.926139831543
Italy,42873.1606996339,2134017843247.16,97.63938,96.34992,65.774299621582
Jamaica,9434.71131301141,13220556882.7046,NA,NA,26.8155899047852
Japan,37487.346083532,5700098114744.41,NA,NA,NA
Jordan,11315.5057739288,27133804244.3669,80.7257,NA,37.1499099731445
Kazakhstan,20751.2572399462,148047348240.643,89.45954,92.55572,46.2479705810547
Kenya,3329.85438577199,40000088346.8041,NA,NA,NA
Kiribati,1924.66009309094,156120895.248578,NA,NA,NA
"Korea, Dem. People’s Rep.",NA,NA,NA,NA,NA
"Korea, Rep.",34431.1451234023,1144066965324.49,98.38177,94.90295,102.791023254395
Kosovo,8372.37599926472,5835874320.56211,NA,NA,NA
Kuwait,58810.3001967563,115419399860.433,92.3455,87.37731,NA
Kyrgyz Republic,4141.07720515528,4794357795.07139,87.3591,NA,42.1598014831543
Lao PDR,4850.17739522899,7127792629.58294,94.53585,39.96589,16.648250579834
Latvia,21033.9725609909,23877564355.9904,97.18449,90.3935,69.0510406494141
Lebanon,19499.1846122678,38443907042.3217,NA,NA,NA
Lesotho,2273.93257675614,2269525779.39288,88.6368,36.12128,NA
Liberia,1420.04661067802,1998000000,NA,NA,9.53118991851807
Libya,22539.9073066578,74773444900.5368,NA,NA,NA
Liechtenstein,NA,5082366478.08994,93.53901,91.15397,36.018310546875
Lithuania,23988.7633837543,37138464732.9838,96.32562,96.98128,86.5725708007813
Luxembourg,108196.793840499,53212476812.2957,92.73811,86.77192,18.265209197998
"Macao SAR, China",117537.959653532,28123640998.7253,83.6919,72.4191,55.050048828125
Madagascar,1553.40472203892,9982711030.26388,NA,NA,3.66996002197266
Malawi,968.779611645394,6959655570.89098,NA,29.12365,0.715919971466064
Malaysia,20536.367417243,255016609232.871,96.23306,74.33845,37.028881072998
Maldives,16305.6205356932,2588176054.6875,NA,NA,NA
Mali,2082.96179622555,10689167195.3375,64.28644,30.67392,6.12980985641479
Malta,33126.7147943452,9035932177.77961,NA,83.80971,37.3857612609863
Marshall Islands,3647.71945131929,162164700,NA,NA,NA
Mauritania,4767.38418810482,5628882266.37767,72.37404,NA,4.36241006851196
Mauritius,16797.8172363943,10003670690.3497,96.50869,NA,33.691478729248
Mexico,17875.4647975546,1057801295584.05,98.0771,70.08479,27.5634708404541
"Micronesia, Fed. Sts.",3662.66399184245,296944100,NA,NA,NA
Moldova,8550.170639047,6974960345.3712,87.59101,78.62414,38.1453590393066
Monaco,NA,5367625613.15127,NA,NA,NA
Mongolia,7479.79740248469,7189481824.07288,97.30346,NA,53.7347412109375
Montenegro,16717.3310133169,4142931812.77707,NA,NA,52.225269317627
Morocco,6284.12011608832,93216746661.5977,92.28772,51.01615,14.5676403045654
Mozambique,1027.20857096279,11104648673.0016,89.83316,15.97046,4.66200017929077
Myanmar,3129.92081158617,49540813342.4834,89.00709,45.05213,NA
Namibia,8888.4131192552,11268186636.2905,91.7836,NA,NA
Nauru,6696.52986190429,47564520.3910861,NA,NA,NA
Nepal,2356.29231641416,16002656434.4746,NA,NA,14.3399000167847
Netherlands,52277.8834721874,846554894931.084,99.51312,87.8786,63.7160186767578
New Caledonia,NA,NA,NA,NA,NA
New Zealand,37066.030128922,146619138358.948,NA,NA,NA
Nicaragua,4611.84028792174,8758639096.47693,94.89265,48.4211,NA
Niger,1036.90430530082,7851191899.3408,54.06424,10.86772,1.37264001369476
Nigeria,4932.33498667095,361456622215.721,64.13783,NA,9.57199954986572
North Macedonia,13308.5727080564,9407168702.4313,85.3765,NA,37.4802017211914
Northern Mariana Islands,NA,799000000,NA,NA,NA
Norway,60290.0783582235,428757038466.841,99.08012,95.29992,73.4938583374023
Oman,33870.9533754218,56913065779.2588,NA,NA,23.3445491790771
Pakistan,3906.87401440434,177165635077.065,65.98301,NA,NA
Palau,15073.3751986446,185943000,NA,NA,NA
Panama,21347.3327494385,29440300000,95.62248,66.11851,44.2514686584473
Papua New Guinea,3409.29681716922,14250755221.5077,NA,NA,NA
Paraguay,10405.2309409429,27215968615.5548,87.9171,60.94171,34.6302108764648
Peru,10066.4696472131,147528937028.778,96.60304,77.70725,NA
Philippines,5918.37348075447,208368892319.233,NA,NA,29.5638408660889
Poland,24072.4227530003,479834179020.33,94.57285,89.64078,74.7552490234375
Portugal,31837.9730104088,237880908317.652,99.31374,NA,65.60205078125
Puerto Rico,32960.6911054053,98381300000,89.70856,NA,89.498046875
Qatar,95908.4161572388,125122306346.154,90.21337,93.8946,9.36096954345703
Romania,20338.8974621853,166309355234.589,91.31441,NA,63.9954414367676
Russian Federation,24034.7277105491,1524917468442.01,NA,NA,NA
Rwanda,1507.16501035777,6124120673.41998,NA,NA,5.92990016937256
Samoa,6010.89519762392,663161517.850106,95.36821,80.53411,NA
San Marino,71576.7439024426,1881214370.93994,NA,NA,57.6970405578613
Sao Tome and Principe,3357.48881713945,196652166.278474,90.48221,34.9313,4.33233022689819
Saudi Arabia,44036.7785878196,528207332649.536,97.10889,NA,36.6267700195313
Senegal,2742.99502020728,16230887978.4993,71.57491,NA,7.5914101600647
Serbia,14463.173599177,41819468691.8251,92.74722,90.16584,49.0827217102051
Seychelles,20981.8345862825,969936525.298729,NA,74.66878,NA
Sierra Leone,1413.56417680838,2578026297.15912,NA,NA,NA
Singapore,78159.8433287318,239809387605.427,NA,NA,NA
Sint Maarten (Dutch part),43543.8897582329,NA,NA,NA,NA
Slovak Republic,26108.6438090938,90310718349.0156,84.07748,85.63455,NA
Slovenia,33505.643357468,48161250405.2468,98.42773,94.02173,NA
Solomon Islands,2441.76059306858,846797693.595387,NA,NA,NA
Somalia,NA,NA,NA,NA,NA
South Africa,12452.3382584732,375349442837.24,NA,NA,NA
South Sudan,NA,14602072410.9506,NA,NA,NA
Spain,37363.1270192181,1420722034063,99.71354,90.86856,NA
Sri Lanka,9126.86579479194,56725749221.9043,94.73654,84.03138,NA
St. Kitts and Nevis,23710.229638671,760170370.37037,94.39666,96.25154,NA
St. Lucia,14109.9807727445,1486758037.03704,NA,82.5328,NA
St. Martin (French part),NA,NA,NA,NA,NA
St. Vincent and the Grenadines,11447.995346102,681225925.925926,94.8599,85.59002,NA
Sudan,3217.76676555225,58167563412.7594,NA,NA,NA
Suriname,16953.8034242653,4368398047.64333,88.62022,50.82254,NA
Sweden,48519.1327274185,495812558843.31,99.38254,93.07121,NA
Switzerland,64478.5814430623,583782978345.834,93.96341,83.68751,NA
Syrian Arab Republic,NA,NA,92.96128,66.79607,NA
Tajikistan,2259.59458613619,5642178579.58438,97.85753,82.50797,NA
Tanzania,2006.97165229779,32014249841.4151,92.19632,NA,NA
Thailand,14413.3516239249,341104820155.464,NA,77.10383,NA
Timor-Leste,2930.03841389637,881826900,89.50847,40.50575,NA
Togo,1224.97842819758,3429461495.41335,NA,NA,NA
Tonga,5170.70340680526,366840012.442325,NA,NA,NA
Trinidad and Tobago,28910.9088184444,22157948396.2042,95.28261,NA,NA
Tunisia,10113.3492833656,44050929160.2627,98.15464,NA,NA
Turkey,20187.1840008158,776967610957.286,96.08606,80.94061,NA
Turkmenistan,8616.88614487802,22583157894.7368,NA,NA,NA
Turks and Caicos Islands,NA,686787800,NA,NA,NA
Tuvalu,3281.24837480328,31823518.6204366,NA,NA,NA
Uganda,1861.28228564753,26558906013.7722,91.5001,NA,NA
Ukraine,11778.3136960259,136013155905.036,90.41149,85.99148,NA
United Arab Emirates,54921.8398136707,289787338325.391,NA,NA,NA
United Kingdom,42094.417972689604,2475244321361.11,98.01015,96.16818,NA
United States,54359.1339744884,14992052727000,93.37426,88.38466,NA
Uruguay,17712.8969892031,40284481653.4343,99.54073,NA,NA
Uzbekistan,4651.52296182589,46679875793.5724,89.1713,85.91028,NA
Vanuatu,3239.88782353596,700804286.224354,NA,51.60029,NA
"Venezuela, RB",NA,393192354510.653,92.48108,71.94629,NA
Vietnam,5089.41124789522,115931749697.241,98.01475,NA,NA
Virgin Islands (U.S.),NA,4339000000,NA,NA,NA
West Bank and Gaza,5411.0664822782,9681500000,87.00422,83.27484,NA
"Yemen, Rep.",NA,30906749533.221,81.53256,39.72381,NA
Zambia,3125.52930813716,20265559483.8548,84.80889,NA,NA
Zimbabwe,2273.20007326702,12041655200,NA,NA,NA
